DATAFLOW,LAST UPDATE,freq,quantile,quant_inc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Third quintile,Percentage,Poland,2020,27.2,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Third quintile,Percentage,Portugal,2020,24.8,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Third quintile,Percentage,Sweden,2020,35.7,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fourth quintile,Percentage,Belgium,2020,32.4,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fourth quintile,Percentage,Czechia,2020,22.8,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fourth quintile,Percentage,Germany,2020,33.9,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fourth quintile,Percentage,Spain,2020,26.6,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fourth quintile,Percentage,France,2020,28.7,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fourth quintile,Percentage,Netherlands,2020,34.8,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fourth quintile,Percentage,Poland,2020,28.3,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fourth quintile,Percentage,Portugal,2020,30.1,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fourth quintile,Percentage,Sweden,2020,34.7,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fifth quintile,Percentage,Belgium,2020,35.1,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fifth quintile,Percentage,Czechia,2020,25.3,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fifth quintile,Percentage,Germany,2020,36.6,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fifth quintile,Percentage,Spain,2020,29.4,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fifth quintile,Percentage,France,2020,30.4,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fifth quintile,Percentage,Netherlands,2020,38,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fifth quintile,Percentage,Poland,2020,28.5,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fifth quintile,Percentage,Portugal,2020,37.9,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Fifth quintile,Percentage,Sweden,2020,36.2,s
